,Title,Artist,Lyrics
0,Tim McGraw,Taylor Swift,"He said the way my blue eyes shinedPut those Georgia stars to shame that nightI said, ""That's a lie""Just a boy in a Chevy truckThat had a tendency of gettin' stuckOn back roads at nightAnd I was right there beside him all summer longAnd then the time we woke up to find that summer goneBut when you think Tim McGrawI hope you think my favorite songThe one we danced to all night longThe moon like a spotlight on the lakeWhen you think happinessI hope you think that little black dressThink of my head on your chestAnd my old faded blue jeansWhen you think Tim McGrawI hope you think of meSeptember saw a month of tearsAnd thankin' God that you weren't hereTo see me like thatBut in a box beneath my bedIs a letter that you never readFrom three summers backIt's hard not to find it all a little bittersweetAnd lookin' back on all of that, it's nice to believeWhen you think Tim McGrawI hope you think my favorite songThe one we danced to all night longThe moon like a spotlight on the lakeWhen you think happinessI hope you think that little black dressThink of my head on your chestAnd my old faded blue jeansWhen you think Tim McGrawI hope you think of meAnd I'm back for the first time since thenI'm standin' on your streetAnd there's a letter left on your doorstepAnd the first thing that you'll read is:""When you think Tim McGrawI hope you think my favorite songSomeday you'll turn your radio onI hope it takes you back to that place""When you think happinessI hope you think that little black dressThink of my head on your chestAnd my old faded blue jeansWhen you think Tim McGrawI hope you think of meOh, think of meMmmmHe said the way my blue eyes shinedPut those Georgia stars to shame that nightI said, ""That's a lie"" "
1,Picture To Burn,Taylor Swift,"State the obvious, I didn't get my perfect fantasyI realize you love yourself more than you could ever love meSo go and tell your friends that I'm obsessive and crazyThat's fine I'll tell mine that you're gay!By the way...I hate that stupid old pickup truckYou never let me driveYou're a redneck heartbreakWho's really bad at lyingSo watch me strike a matchOn all my wasted timeAs far as I'm concernedYou're just another picture to burn!There's no time for tearsI'm just sitting here planning my revengeThere's nothing stopping meFrom going out with all of your best friendsAnd if you come around saying sorry to meMy daddy's gonna show you how sorry you'll be'Cause I hate that stupid old pickup truckYou never let me driveYou're a redneck heartbreakWho's really bad at lyingSo watch me strike a matchOn all my wasted timeAs far as I'm concernedYou're just another picture to burn!And if you're missing meYou'd better keep it to yourself'Cause coming back around hereWould be bad for your health...'Cause I hate that stupid old pickup truckYou never let me driveYou're a redneck heartbreakWho's really bad at lyingSo watch me strike a matchOn all my wasted timeIn case you haven't heardI really really hate that...Stupid old pickup truckYou never let me driveYou're a redneck heartbreakWho's really bad at lyingSo watch me strike a matchOn all my wasted timeAs far as I'm concernedYou're just another picture to burn!Burn, burn, burn, baby, burnYou're just another picture to burnBaby, burn... "
2,Teardrops On My Guitar,Taylor Swift,"Drew looks at meI fake a smile so he won't seeThat I want and I'm needingEverything that we should beI'll bet she's beautiful, that girl he talks aboutAnd she's got everything that I have to live withoutDrew talks to meI laugh 'cause it's just so funnyThat I can't even seeAnyone when he's with meHe says he's so in love, he's finally got it rightI wonder if he knows he's all I think about at nightHe's the reason for the teardrops on my guitarThe only thing that keeps me wishing on a wishing starHe's the song in the car I keep singing. Don't know why I doDrew walks by meCan he tell that I can't breathe?And there he goes, so perfectlyThe kind of flawless I wish I could beShe'd better hold him tight, give him all her loveLook in those beautiful eyes and know she's lucky 'causeHe's the reason for the teardrops on my guitarThe only thing that keeps me wishing on a wishing starHe's the song in the car I keep singing. Don't know why I doSo, I drive home aloneAs I turn out the lightI'll put his picture downAnd maybe get some sleep tonight'Cause he's the reason for the teardrops on my guitarThe only one who's got enough of me to break my heartHe's the song in the car I keep singing. Don't know why I doHe's the time taken up, but there's never enoughAnd he's all that I need to fall intoDrew looks at meI fake a smile so he won't see "
3,A Place In This World,Taylor Swift,"I don't know what I want, so don't ask me'Cause I'm still trying to figure it outDon't know what's down this road, I'm just walkingTrying to see through the rain coming downEven though I'm not the only oneWho feels the way I doI'm alone, on my own, and that's all I knowI'll be strong, I'll be wrong, oh but life goes onOh, I'm just a girl, trying to find a place in this worldGot the radio on, my old blue jeansAnd I'm wearing my heart on my sleeveFeeling lucky today, got the sunshineCould you tell me what more do I needAnd tomorrow's just a mystery, oh yeahBut that's OKI'm alone, on my own, and that's all I knowI'll be strong, I'll be wrong, oh but life goes onOh, I'm just a girl, trying to find a place in this worldMaybe I'm just a girl on a missionBut I'm ready to flyI'm alone, on my own, and that's all I knowI'll be strong, I'll be wrong, oh but life goes onOh I'm alone, on my own, and that's all I knowOh I'm just a girl, trying to find a place in this worldOh I'm just a girlOh I'm just a girl, oh, ohOh I'm just a girl "
4,Cold As You,Taylor Swift,"You have a way of coming easily to meAnd when you take, you take the very best of meSo I start a fight 'cause I need to feel somethingAnd you do what you want 'cause I'm not what you wantedOh, what a shame, what a rainy ending given to a perfect dayJust walk away, ain't no use defending words that you will never sayAnd now that I'm sitting here thinking it throughI've never been anywhere cold as youYou put up walls and paint them all a shade of grayAnd I stood there loving you and wished them all awayAnd you come away with a great little storyOf a mess of a dreamer with the nerve to adore youOh, what a shame, what a rainy ending given to a perfect daySo just walk away, ain't no use defending words that you will never sayAnd now that I'm sitting here thinking it throughI've never been anywhere cold as youYou never did give a damn thing, honey, but I cried, cried for youAnd I know you wouldn't have told nobody if I died, died for you, died for youOh, what a shame, what a rainy ending given to a perfect dayEvery smile you fake is so condescending counting all the scars you madeAnd now that I'm sitting here thinking it throughI've never been anywhere cold as you "
5,The Outside,Taylor Swift,"I didn't know what I would findWhen I went looking for a reasonI know I didn't read between the linesAnd, baby, I've got nowhere to goI tried to take the road less traveled byBut nothing seems to work the first few timesAm I right?So how can I ever try to be better?Nobody ever lets me inI can still see youThis ain't the best viewOn the outside looking inAnd I've been a lot of lonely placesI've never been on the outsideYou saw me there, but never knewThat I would give it all up to beA part of this, a part of youAnd now it's all too late. So you seeYou could've helped if you had wanted toBut no one notices until it's too late to do anythingSo how can I ever try to be better?Nobody ever lets me inI can still see youThis ain't the best viewOn the outside looking inAnd I've been a lot of lonely placesI've never been on the outsideOh, yeahSo how can I ever try to be better?Nobody ever lets me inAnd I can still see youThis ain't the best viewOn the outside looking inAnd I've been a lot of lonely placesI've never been on the outside "
6,Tied Together With A Smile,Taylor Swift,"Seems the only one who doesn't see your beautyIs the face in the mirror looking back at youYou walk around here thinking you're not prettyBut that's not true 'cause I know youHold on, baby, you're losing itThe water's high, you're jumping into itAnd letting goAnd no one knowsThat you cry, but you don't tell anyoneThat you might not be the golden oneAnd you're tied together with a smileBut you're coming undoneI guess it's true that love was all you wanted'Cause you're giving it away like it's extra changeHoping it will end up in his pocketBut he leaves you out like a penny in the rainOh, 'cause it's not his price to payIt's not his price to payHold on, baby, you're losing itThe water's high, you're jumping into itAnd letting goAnd no one knowsThat you cry, but you don't tell anyoneThat you might not be the golden oneAnd you're tied together with a smileBut you're coming undoneHold on, baby, you're losing itThe water's high, you're jumping into itAnd letting goAnd no one knowsThat you cry, but you don't tell anyoneThat you might not be the golden oneAnd you're tied together with a smileBut you're coming undoneYou're tied together with a smileBut you're coming undoneGoodbye, babyWith a smile, baby, baby "
7,Stay Beautiful,Taylor Swift,"Cory's eyes are like a jungleHe smiles, it's like the radioHe whispers songs into my windowIn words that nobody knowsThere's pretty girls on every cornerThat watch him as he's walking homeSaying, ""Does he know?""Will you ever know?You're beautifulEvery little piece loveAnd don't you knowYou're really gonna be someoneAsk anyoneAnd when you find everything you looked forI hope your life leads you back to my doorOh, but if it don'tStay beautifulCory finds another way to beThe highlight of my dayI'm taking pictures in my mindSo I can save them for a rainy dayIt's hard to make a conversationWhen he's taking my breath awayI should say, hey, by the wayYou're beautifulEvery little piece loveAnd don't you knowYou're really gonna be someoneAsk anyoneAnd when you find everything you looked forI hope your life leads you back to my doorOh, but if it don'tStay beautifulIf you and I are a storyThat never gets toldIf what you are is a daydreamI'll never get to holdAt least you'll knowYou're beautifulEvery little piece loveAnd don't you knowYou're really gonna be someoneAsk anyoneAnd when you find everything you looked forI hope your life leads you back to my front doorOh, but if it don'tWill you stayBeautiful, beautiful, beautifulBeautiful, beautiful, beautiful?La la laOh, oh, oh, ohOh, but if it don'tStay beautifulStay beautifulNa, na, na, na, na "
8,Should've Said No,Taylor Swift,"It's strange to think the songs we used to singThe smiles, the flowers, everything is goneYesterday I found out about youEven now just looking at you feels wrongYou say that you'd take it all back, given one chanceIt was a moment of weakness and you said, ""Yes.""You should've said ""No"", you should've gone homeYou should've thought twice 'fore you let it all goYou should've known that word'Bout what you did with her'dGet back to me (get back to me).And I should've been there in the back of your mindI shouldn't be asking myself, ""Why?""You shouldn't be begging for forgiveness at my feet...You should've said ""No"", baby, and you might still have meYou can see that I've been cryingAnd baby, you know all the right things to sayBut do you honestly expect me to believeWe could ever be the same?You say that the past is the past, you need one chanceIt was a moment of weakness and you said, ""Yes.""You should've said ""No"", you should've gone homeYou should've thought twice 'fore you let it all goYou should've known that word'Bout what you did with her'd,Get back to me (get back to me).And I should've been there in the back of your mindI shouldn't be asking myself, ""Why?""You shouldn't be begging for forgiveness at my feet...You should've said ""No"", baby, and you might still have meI can't resistBefore you go, tell me this:Was it worth it?Was she worth this?No... no, no, no...You should've said ""No"", you should've gone homeYou should've thought twice 'fore you let it all goYou should've known that word'Bout what you did with her'd,Get back to me (get back to me).And I should've been there in the back of your mindI shouldn't be asking myself, ""Why?""You shouldn't be begging for forgiveness at my feet...You should've said ""No"", baby, and you might still have me "
9,Mary's Song (Oh My My My),Taylor Swift,"She said, I was seven and you were nineI looked at you like the stars that shinedIn the sky, the pretty lightsAnd our daddies used to joke about the two of usGrowing up and falling in love and our mamas smiledAnd rolled their eyes and said, ""Oh my, my, my""Take me back to the house in the backyard treeSaid you'd beat me up, you were bigger than meYou never did, you never didTake me back when our world was one block wideI dared you to kiss me and ran when you triedJust two kids, you and IOh my, my, my, myWell, I was sixteen when suddenlyI wasn't that little girl you used to seeBut your eyes still shined like pretty lightsAnd our daddies used to joke about the two of usThey never believed we'd really fall in loveAnd our mamas smiled and rolled their eyesAnd said, ""Oh my, my, my""Take me back to the creek beds we turned upTwo A.M. riding in your truck and all I need is you next to meTake me back to the time we had our very first fightThe slamming of doors instead of kissing goodnightYou stayed outside 'til the morning lightOh my, my, my, myA few years had gone and come aroundWe were sitting at our favorite spot in townAnd you looked at me, got down on one kneeTake me back to the time when we walked down the aisleOur whole town came and our mamas criedYou said ""I do"" and I did tooTake me home where we met so many years beforeWe'll rock our babies on that very front porchAfter all this time, you and II'll be eighty-seven; you'll be eighty-nineI'll still look at you like the stars that shineIn the sky, oh my, my, my "
